building,tag,building_id,use_type,gross_square_footage
CDL,CDL_E_TBU_CD,0162,Library,64749.0
FC3,FC3_E_TBU_CD,0552,Service,53044.0
ECJ,ECJ_E_TBU_CD,0227,Laboratory,239152.0
FC2,FC2_E_TBU_CD,0565,Service,43891.0
EER,EER_E_TBU_CD,0223,Laboratory,454422.0
BMS,BMS_E_TBU_CD,0115,Office,59511.0
SAC,SAC_E_TBU_CD,0278,Public Assembly,153992.0
UTC,UTC_E_TBU_CD,0500,Classroom,168696.0
WRW,WRW_E_TBU_CD,0442,Laboratory,77632.0
WCH,WCH_E_TBU_CD,0257,Office,51483.0
WWH,WWH_E_TBU_CD,0040,Office,38173.0
ANB,ANB_E_TBU_CD,0722,Office,8004.0
SZB,SZB_E_TBU_CD,0025,Classroom,261467.0
BMC,BMC_E_TBU_CD,0185,Classroom,126077.0
CMB,CMB_E_TBU_CD,0182,Public Assembly,125169.0
HSM,HSM_E_TBU_CD,0183,Public Assembly,26033.0
NEZ,NEZ_E_TBU_CD,9716,Public Assembly,602869.0
HTB,HTB_E_TBU_CD,0701,Health Care,243435.0
HRC,HRC_E_TBU_CD,0310,Library,252268.0
BLD,BLD_E_TBU_CD,0098,Lodging,69754.0
ADH,ADH_E_TBU_CD,0347,Lodging,176878.0
LLB,LLB_E_TBU_CD,0670,Lodging,10346.0
GEB,GEB_E_TBU_CD,0569,Office,31233.0
JON,JON_E_TBU_CD,0602,Library,216072.0
TNH,TNH_E_TBU_CD,0601,Classroom,167009.0
LLE,LLE_E_TBU_CD,0667,Lodging,8079.0
SOF,SOF_E_TBU_CD,0638,Service,300.0
ATT,ATT_E_TBU_CD,0027,Lodging,344798.0
RLP,RLP_E_TBU_CD,0540,Office,212536.0
SJH,SJH_E_TBU_CD,0502,Lodging,301307.0
CSB,CSB_E_TBU_CD,0452,Public Assembly,1593.0
TCC,TCC_E_TBU_CD,0119,Public Assembly,52357.0
TMM,TMM_E_TBU_CD,0593,Exhibition,35356.0
STD,STD_E_TBU_CD,9710,Public Assembly,430119.0
MNC,MNC_E_TBU_CD,0421,Public Assembly,103924.0
LDH,LDH_E_TBU_CD,0597,Food Service,8525.0
POB,POB_E_TBU_CD,0224,Office,181805.0
LLC,LLC_E_TBU_CD,0671,Lodging,11227.0
