dataid,active_record,building_type,city,state,egauge_1min_min_time,egauge_1min_max_time,egauge_1min_data_availability,egauge_1s_min_time,egauge_1s_max_time,egauge_1s_data_availability,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1,wellpump1,water_ert_min_time,water_ert_max_time,water_data_availability,gas_ert_min_time,gas_ert_max_time,gas_data_availability,indoor_temp_min_time,indoor_temp_max_time,indoor_temp_data_availability,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,pv,pv_panel_direction,total_amount_of_pv,amount_of_south_facing_pv,amount_of_west_facing_pv,amount_of_east_facing_pv,number_of_nests,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,survey_2017,survey_2019,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,program_shines,energy_storage_system,energy_storage_system_l1,energy_storage_system_l2
5433,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-04-12 13:12:24-05:00,2013-04-01 18:38:24-05:00,73%,,,,2011-02-01,2013-04-02,2007.0,1422.0,1422.0,0.0,0.0,,,yes,,,,,,,yes,,yes,yes,,,,,,yes,yes,,,CCET - Control,,,,,
1101,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-02-01,2013-04-27,2008.0,2649.0,1639.0,1010.0,0.0,,,yes,South;West,6.25,3.0,3.25,,,yes,,yes,,,,,,,yes,yes,,,,,,,,
8872,,Single-Family Home 001 (Master),Austin,Texas,2012-05-02 01:00:00-05:00,2013-06-10 00:59:00-05:00,100%,,,,yes,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,2011-02-01,2013-06-10,2008.0,1422.0,1422.0,0.0,0.0,,,yes,South;West,5.5,,3.25,,,yes,,yes,yes,,,,,,yes,yes,,,CCET - Control,,,,,
1464,,Single-Family Home 001 (Master),Austin,Texas,2012-10-19 19:00:00-05:00,2014-03-05 17:59:00-06:00,100%,,,,yes,,,,,,,yes,yes,yes,,,,,,,yes,,,,yes,yes,,yes,,,,,,yes,,,,,,,,,yes,,yes,,,,,,,,yes,,,,yes,,,,,,,yes,yes,,yes,,,yes,,yes,,,,,,,,2012-05-01 13:00:00-05:00,2019-10-18 06:49:00-05:00,6%,2012-04-13 09:26:26-05:00,2014-02-06 23:53:33-06:00,75%,,,,2011-02-01,2014-03-06,2007.0,2345.0,1385.0,960.0,0.0,,,yes,South;West,3.3,1.65,1.65,,,yes,,yes,yes,,,,,,yes,yes,,,CCET - Control,,,,,
3824,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-02-01,2014-04-01,2009.0,2001.0,1435.0,566.0,0.0,,,yes,South;West,6.37,,3.185,,,yes,,,,,,,,,yes,yes,,,CCET - Text Message,,,,,
78,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-04-11 18:59:58-05:00,2013-05-10 16:29:46-05:00,100%,,,,2011-02-01,2014-04-07,2008.0,3249.0,1532.0,1717.0,0.0,,,yes,,,,,,,yes,,,,,,,,,yes,yes,,,,,,,,
8047,,Single-Family Home 001 (Master),Austin,Texas,2013-04-16 00:00:00-05:00,2014-04-06 18:56:00-05:00,58%,,,,yes,,,,,yes,,,,,,,,,,,yes,,,,yes,yes,,yes,yes,yes,,,,yes,,,,,,,,,yes,yes,,,,,,,,,yes,,,,yes,,,,,,,,yes,,,,,yes,,,,,yes,,,,,,,,2012-04-11 18:59:52-05:00,2013-05-10 16:26:10-05:00,99%,,,,2011-02-01,2014-04-07,2009.0,3245.0,1779.0,1466.0,0.0,,,yes,,,,,,,yes,,yes,,yes,,,,,yes,yes,,,CCET - Pricing Trial,,,,,
5839,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-04-11 18:59:53-05:00,2013-05-10 16:29:18-05:00,100%,,,,2011-02-01,2014-04-30,2009.0,2068.0,1036.0,1032.0,0.0,,,yes,,7.0,,,,,yes,,yes,,yes,,,,,yes,yes,,,,,,,,
1050,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-04-11 18:59:03-05:00,2013-05-10 16:22:47-05:00,98%,,,,2011-02-01,2014-05-01,2007.0,3249.0,1532.0,1717.0,0.0,,,,,,,,,,yes,,yes,yes,,,,,,yes,yes,,,CCET - Control,,,,,
8597,,Single-Family Home 001 (Master),Austin,Texas,2012-10-26 19:00:00-05:00,2014-10-21 18:59:00-05:00,99%,,,,yes,,,,,,,yes,,,,,,,,,yes,,yes,,yes,yes,yes,,,yes,,,,yes,,,,,,,,,yes,yes,yes,yes,,,,,,,,,,,yes,,,,,,,yes,yes,,,,,yes,,,,,,,,,,,,,2012-04-11 18:59:53-05:00,2013-05-10 16:28:22-05:00,100%,,,,2011-02-01,2014-10-31,2008.0,2122.0,1162.0,960.0,0.0,,,yes,West,5.635,,5.635,,,yes,,yes,,,,,,,yes,yes,,,CCET - UT Text,,,,,
7982,,Single-Family Home 001 (Master),Austin,Texas,2013-02-22 18:00:00-06:00,2014-11-13 17:59:00-06:00,94%,,,,yes,,,,,,,yes,,,,,,yes,,,yes,,yes,,yes,yes,yes,yes,,yes,,,,yes,,,,,,,,,yes,yes,,,,,,,,,yes,,,,yes,,,,,,,,yes,,yes,,,yes,,yes,,,yes,,,,,2012-05-01 13:00:00-05:00,2014-11-14 23:56:22.783059-06:00,22%,2012-04-11 18:59:57-05:00,2014-11-14 23:59:42-06:00,75%,2014-02-21 11:04:00-06:00,2014-11-14 14:59:00-06:00,90%,2011-02-01,2014-11-15,2007.0,1720.0,1720.0,0.0,0.0,,,yes,South;West,3.885,1.295,2.59,,,yes,yes,yes,,yes,,,,,yes,yes,yes,,CCET - Pricing Trial,,,,,
7057,,Single-Family Home 001 (Master),Austin,Texas,2014-06-06 19:00:00-05:00,2015-01-09 17:59:00-06:00,100%,,,,yes,,,,,yes,,,,,,,,yes,,,yes,,,,yes,yes,yes,,,yes,,yes,,yes,,,,,,,,,yes,yes,,,,,,,,,yes,,,,yes,,,,,,,,yes,,yes,,,,,yes,,,yes,,,,,,,,2012-04-11 18:59:45-05:00,2015-01-31 12:56:35-06:00,40%,,,,2011-02-01,2015-02-13,2009.0,1720.0,1720.0,0.0,0.0,,,,,,,,,,yes,,yes,yes,yes,yes,,,,yes,yes,,,,,,,,
3192,,Single-Family Home 001 (Master),Austin,Texas,2012-05-22 01:00:00-05:00,2016-07-17 05:59:00-05:00,99%,,,,yes,,,,,yes,,,,,,,,yes,,,yes,,,,yes,yes,,yes,,yes,,,,yes,,,,,,,,,yes,yes,,,,,,,yes,,yes,,,,yes,,,,,,,,yes,,,,,yes,,,,,yes,,,,,2016-01-17 00:00:00-06:00,2016-07-26 06:16:00-05:00,77%,2012-04-11 18:59:39-05:00,2013-05-10 16:29:25-05:00,99%,,,,2011-02-01,2016-07-29,2008.0,2075.0,2075.0,0.0,0.0,,,yes,South;West,6.105,4.07,2.035,,,yes,yes,yes,,,,,,,yes,yes,,,CCET - Pricing Trial,,,,,
1790,,Single-Family Home 001 (Master),Austin,Texas,2014-05-02 00:00:00-05:00,2017-02-20 23:59:00-06:00,100%,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,2012-04-11 18:59:20-05:00,2017-02-20 23:47:39-06:00,76%,,,,2011-02-01,2017-02-21,2008.0,3023.0,1473.0,1550.0,0.0,,,yes,South;West,6.37,3.43,2.94,,,yes,,yes,yes,yes,,,,,yes,yes,,,CCET - Control,,,,,
3577,,Single-Family Home 001 (Master),Austin,Texas,2014-05-30 00:00:00-05:00,2017-06-29 05:59:00-05:00,100%,,,,yes,,,,,yes,,,,,,,,,,,yes,,,,yes,yes,,yes,,yes,,,,yes,,,,,,yes,,,yes,yes,,,,,,,,,yes,,,,yes,,,,,,,,yes,,,,,,,,,,yes,,,,,,,,2012-04-11 18:59:13-05:00,2017-08-14 20:26:24-05:00,74%,,,,2011-02-01,2017-08-15,2008.0,2122.0,1162.0,960.0,0.0,,,,,,,,,,yes,,yes,,yes,,,,,yes,yes,,,,,,,,
8890,,Single-Family Home 001 (Master),Austin,Texas,2012-05-02 19:00:00-05:00,2016-03-04 02:59:00-06:00,100%,2015-01-01 00:00:00-06:00,2015-12-31 23:59:59-06:00,100%,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,2012-05-01 13:00:00-05:00,2020-10-08 18:43:00-05:00,6%,2012-04-11 18:57:35-05:00,2017-09-21 23:39:04-05:00,86%,2014-09-30 09:52:00-05:00,2016-03-04 14:59:00-06:00,100%,2011-02-01,2017-09-22,2008.0,2194.0,1423.0,771.0,0.0,0.0,0.0,yes,South;West,5.64,3.525,2.115,0.0,,yes,,yes,,,,,,,yes,yes,,,CCET - Pricing Trial,,,,,
6830,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-04-11 18:59:53-05:00,2017-09-26 23:19:37-05:00,76%,,,,2011-02-01,2017-09-27,2008.0,2075.0,2075.0,0.0,0.0,,,,,,,,,,yes,,yes,,yes,,,,,yes,yes,,,,,,,,
2575,,Single-Family Home 001 (Master),Austin,Texas,2012-11-09 00:00:00-06:00,2017-10-10 06:36:00-05:00,96%,,,,yes,,,,,,,yes,yes,,,,,,,,yes,,,,yes,yes,yes,,,yes,,,,yes,,,,,,,,,yes,yes,yes,yes,,,,,,,yes,,,,,,,,,,,,yes,,,,,yes,,,,,,,,,,,,,2012-04-11 18:57:46-05:00,2017-10-15 11:59:12-05:00,77%,,,,2011-02-01,2017-10-17,2008.0,1439.0,1439.0,0.0,0.0,,,yes,South,6.25,6.25,0.0,,,yes,,yes,yes,,yes,yes,,,yes,yes,,,CCET - Pricing Trial,,,,,
5785,,Single-Family Home 001 (Master),Austin,Texas,2012-05-02 19:00:00-05:00,2017-09-22 03:31:00-05:00,100%,2014-10-01 00:00:00-05:00,2017-09-22 08:06:01-05:00,99%,yes,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,2012-07-10 13:00:00-05:00,2015-10-28 23:52:00-05:00,16%,2012-04-11 18:59:44-05:00,2018-02-12 19:10:30-06:00,81%,2015-03-27 15:00:00-05:00,2015-04-02 06:59:00-05:00,94%,2011-02-01,2018-02-20,2007.0,1842.0,1379.0,463.0,0.0,,,yes,South;West,6.37,1.96,4.41,,,yes,,yes,,yes,,,,,yes,yes,,,CCET - UT Text,,,,,
